Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,71.786003,72.000000,71.599998,71.797997,71.797997,8774
2021-10-29,71.587997,72.664001,71.584000,72.643997,72.643997,12581
2021-11-01,72.874001,73.070000,72.533997,72.667999,72.667999,60221
2021-11-02,72.606003,73.078003,72.599998,73.078003,73.078003,14936
2021-11-03,73.028000,73.092003,72.930000,73.000000,73.000000,17339
2021-11-04,73.713997,74.098000,73.685997,73.924004,73.924004,20395
2021-11-05,74.001999,74.842003,73.989998,74.447998,74.447998,32091
2021-11-08,74.176003,74.365997,74.099998,74.181999,74.181999,23094
2021-11-09,73.973999,74.250000,73.699997,73.877998,73.877998,24657
2021-11-10,74.001999,74.286003,73.720001,74.220001,74.220001,15227
2021-11-11,74.222000,74.400002,74.124001,74.279999,74.279999,7176
2021-11-12,74.314003,74.744003,74.279999,74.744003,74.744003,4687
2021-11-15,74.816002,75.122002,74.788002,75.019997,75.019997,10188
2021-11-16,75.288002,75.900002,75.183998,75.900002,75.900002,10672
2021-11-17,76.028000,76.033997,75.685997,75.849998,75.849998,9462
2021-11-18,75.820000,75.973999,75.330002,75.632004,75.632004,6251
2021-11-19,76.113998,76.365997,75.949997,76.078003,76.078003,34924
2021-11-22,76.458000,77.087997,76.351997,76.816002,76.816002,27821
2021-11-23,75.963997,76.386002,75.596001,75.760002,75.760002,12791
2021-11-24,76.234001,76.599998,76.134003,76.580002,76.580002,23708
2021-11-25,76.891998,76.891998,76.699997,76.820000,76.820000,7050
2021-11-26,75.054001,75.295998,74.181999,74.283997,74.283997,81773
2021-11-29,75.265999,75.505997,74.917999,75.365997,75.365997,19293
2021-11-30,74.403999,74.807999,73.928001,74.391998,74.391998,39525
2021-12-01,74.288002,75.155998,74.288002,75.019997,75.019997,25949
2021-12-02,73.241997,73.930000,72.750000,73.629997,73.629997,33572
2021-12-03,74.211998,74.510002,73.199997,73.501999,73.501999,42900
2021-12-06,74.043999,74.454002,73.438004,74.348000,74.348000,15835
2021-12-07,75.054001,76.384003,74.991997,76.309998,76.309998,24334
2021-12-08,76.134003,76.400002,75.477997,75.571999,75.571999,43940
2021-12-09,75.893997,76.066002,75.676003,76.066002,76.066002,19738
2021-12-10,75.732002,76.557999,75.601997,75.708000,75.708000,14114
2021-12-13,76.515999,76.842003,75.751999,75.788002,75.788002,45810
2021-12-14,76.047997,76.237999,74.900002,74.963997,74.963997,20977
2021-12-15,75.403999,75.412003,75.003998,75.003998,75.003998,13260
2021-12-16,76.543999,76.970001,75.975998,76.124001,76.124001,33389
2021-12-17,75.503998,75.648003,74.500000,75.410004,75.410004,49172
2021-12-20,74.082001,74.318001,73.438004,73.438004,73.438004,28496
2021-12-21,74.489998,74.921997,74.351997,74.832001,74.832001,28612
2021-12-22,75.400002,75.697998,75.087997,75.697998,75.697998,13356
2021-12-23,75.973999,76.599998,75.930000,76.552002,76.552002,15025
2021-12-27,76.388000,77.139999,76.388000,77.070000,77.070000,15034
2021-12-28,77.412003,77.848000,77.389999,77.531998,77.531998,6192
2021-12-29,77.716003,77.902000,77.024002,77.236000,77.236000,13290
2021-12-30,77.545998,77.741997,77.486000,77.540001,77.540001,4518
2022-01-03,77.269997,77.554001,76.987999,77.248001,77.248001,69928
2022-01-04,77.893997,78.178001,77.468002,77.779999,77.779999,72838
2022-01-05,77.620003,77.879997,77.244003,77.362000,77.362000,17886
2022-01-06,76.255997,76.438004,75.681999,76.178001,76.178001,40322
2022-01-07,76.071999,76.318001,75.321999,75.559998,75.559998,18721
2022-01-10,75.767998,75.767998,74.195999,74.529999,74.529999,30402
2022-01-11,75.508003,75.879997,74.972000,75.487999,75.487999,19157
2022-01-12,76.122002,76.194000,75.480003,75.734001,75.734001,14280
2022-01-13,75.295998,75.660004,75.264000,75.449997,75.449997,61239
2022-01-14,74.494003,74.699997,73.889999,74.339996,74.339996,45920
2022-01-17,74.676003,75.092003,74.624001,74.945999,74.945999,5959
2022-01-18,74.486000,74.536003,73.942001,74.082001,74.082001,42014
2022-01-19,73.482002,74.435997,73.482002,73.708000,73.708000,32315
2022-01-20,73.386002,74.286003,73.199997,74.260002,74.260002,50463
2022-01-21,72.334000,72.559998,71.379997,72.440002,72.440002,105117
2022-01-24,71.556000,71.720001,69.300003,69.421997,69.421997,81538
2022-01-25,70.472000,71.234001,69.711998,70.103996,70.103996,59652
2022-01-26,71.003998,72.132004,71.000000,71.779999,71.779999,30802
2022-01-27,70.512001,72.779999,70.489998,72.430000,72.430000,39593
2022-01-28,71.570000,71.624001,70.365997,71.624001,71.624001,44453
2022-01-31,72.638000,73.092003,72.306000,72.947998,72.947998,44698
2022-02-01,73.384003,73.674004,73.000000,73.573997,73.573997,35017
2022-02-02,74.150002,74.421997,73.720001,73.858002,73.858002,55461
2022-02-03,73.792000,73.930000,72.500000,72.559998,72.559998,23547
2022-02-04,72.440002,72.505997,71.283997,71.730003,71.730003,27482
2022-02-07,72.174004,72.438004,71.716003,72.012001,72.012001,24189
2022-02-08,72.075996,72.382004,71.779999,72.382004,72.382004,17431
2022-02-09,72.825996,73.454002,72.711998,73.307999,73.307999,21444
2022-02-10,73.526001,73.536003,72.725998,72.725998,72.725998,25972
2022-02-11,72.531998,72.835999,72.000000,72.141998,72.141998,19618
2022-02-14,71.391998,71.599998,70.699997,71.528000,71.528000,36945
2022-02-15,71.360001,72.323997,71.360001,72.080002,72.080002,23212
2022-02-16,71.886002,72.213997,71.529999,71.655998,71.655998,4313
2022-02-17,71.994003,72.029999,71.178001,71.335999,71.335999,23418
2022-02-18,71.047997,71.150002,70.414001,70.466003,70.466003,3763
2022-02-21,70.669998,70.671997,69.431999,69.741997,69.741997,10665
2022-02-22,69.362000,70.564003,69.353996,69.856003,69.856003,34683
2022-02-23,70.026001,70.300003,69.300003,69.440002,69.440002,11249
2022-02-24,67.500000,69.134003,67.351997,68.797997,68.797997,28457
2022-02-25,69.667999,71.084000,69.456001,71.082001,71.082001,39881
2022-02-28,70.882004,71.599998,70.542000,71.599998,71.599998,58166
2022-03-01,71.762001,72.005997,71.110001,71.293999,71.293999,26247
2022-03-02,71.166000,72.440002,70.980003,72.292000,72.292000,28363
2022-03-03,72.524002,73.166000,72.199997,72.430000,72.430000,50486
2022-03-04,72.486000,72.800003,71.938004,72.115997,72.115997,25535
2022-03-07,71.966003,72.692001,71.603996,71.958000,71.958000,14740
2022-03-08,70.528000,71.220001,70.139999,70.234001,70.234001,30704
2022-03-09,70.720001,71.113998,70.400002,70.753998,70.753998,66588
2022-03-10,70.903999,70.938004,69.870003,70.181999,70.181999,14316
2022-03-11,71.160004,72.036003,71.038002,71.253998,71.253998,43961
2022-03-14,71.028000,71.136002,70.096001,70.112000,70.112000,22671
2022-03-15,69.356003,71.134003,69.099998,71.134003,71.134003,16028
